,UUID,CREATE_TIME,UPDATE_TIME,SENDER,MESSAGE,SEND_TIME,GROUP_NAME,GROUP_ID,labels
121,e77306d1-5b29-49ac-b100-4f544dc1ef9f,2023/2/1 18:23:51,,10480,"[  通知：
在宁员工请注意
2022年1月5日（周三）即明天早上“8：30前务必到达公司”，公司有重要会议，请大家配合按时到达工位。
食堂将配合提前于7：30开放，8：30关闭。8点半后不要在1号楼一楼逗留，届时1号楼电梯也将受限。]",2022-01-04 09:06:33,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
50,ca9f2bab-ada2-4105-8e36-f953386d4cb5,2023/2/1 18:23:41,,10480,"[@所有人   通知：
在宁员工请注意
2022年1月5日（周三）即明天早上“8：30前务必到达公司”，公司有重要会议，请大家配合按时到达工位。
食堂将配合提前于7：30开放，8：30关闭。8点半后不要在1号楼一楼逗留，届时1号楼电梯也将受限。]",2022-01-04 09:06:37,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
51,bffa3166-5261-4c60-beb4-0b503af918db,2023/2/1 18:23:41,,10480,"[@所有人   通知：
在宁员工请注意
2022年1月5日（周三）即明天早上“8：30前务必到达公司”，公司有重要会议，请大家配合按时到达工位。
食堂将配合提前于7：30开放，8：30关闭。8点半后不要在1号楼一楼逗留，届时1号楼电梯也将受限。]",2022-01-04 09:06:42,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
52,85357723-3c3d-4757-9d9f-6d855fb84621,2023/2/1 18:23:41,,10480,"[@所有人 【上月考勤自查提醒】各位同事，请关注本人的2021-12月考勤，考勤有异常但并非迟到、早退、旷工需要在1月14日前参照下方【查看方式】完成考勤流程的提交！！

【考勤查看方式】手机铃客-工作台-员工自助-我的考勤，点入“异常考勤记录”，日历切换到上个月， 红圈 圈出的日期代表异常（绿色圈 或者 无圈 均表示考勤正常），可点击“补异常登记”或者”补请假“或者”补因公外出“。

【考勤流程审批原则】
1、【异常考勤和公出登记】流程审核原则：
普通员工：内部审核选择团队长和中心负责人审批，#特别注意：不需要选择部门负责人；
团队负责人：内部审核选择中心负责人，需要选择分管的部门负责人（选1位）；
中心负责人：内部审核不选，只需选择分管的部门负责人（选1位）。

2、【请假】需通过 员工自助-我的考勤-请假申请，不可以使用异常考勤/公出登记代替。请假审批原则：
普通员工 ：内部审核必须同时选择团队和中心负责人，需选择分管的部门负责人。
团队负责人: 内部审核必须选择中心负责人, 需要选择分管的部门负责人（选1位）。
中心负责人：内部审核不选，只需选择分管的部门负责人（选1位）。

#划重点#“ 异常考勤/因公外出”和“请假流程“的审批原则区别：前者不需要选部门负责人审批，后者要选部门负责人。

【考勤自查截止日期】1月14日，逾期仍有异常，则默认视为迟到、早退或旷工，公司将按考勤制度执行。
如果有问题的可以联系陶源老师004754.

【泰小Q-人力资源类智能问答机器人】员工自助-泰小Q，覆盖范围包括但不限于考勤管理、薪酬福利、培训、执业资格、职级管理等各项人力资源常规问题，同时包括了部分综合、党群、IT类问题。使用路径：铃客—员工自助—泰小Q智能问答]",2022-01-04 09:42:41,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
120,74a53ccd-82e3-4036-a0a0-cbea2c3cff6c,2023/2/1 18:23:51,,10480,"[@所有人 【南京地区同事，事关春节福利，请注意】关于南京地区春节福利有个信息需要大家自行确认。时间比较紧，需在1月4日（节后第一天）的14点前完成，也请各中心、各团队内协助转发提驻宁员工做好自查工作，感谢。

目前已收到57 人的反馈，经核对其中有4人更新了手机号。现把核对后的清单再次发给大家，如发现手机号还有问题的，今天14点前，还可以反馈正确的手机号码!!!
反馈链接：https://link.htsc.com.cn/connect/oauth2/authorize?appid=wwd53282142c96185d&redirect_uri=https%3A%2F%2Flinkapp.htsc.com.cn%2Ftaie%2FkooForm%2FformForUser%3FformId%3DFORM_7012&response_type=code&scope=SCOPE&agentid=1000102&state=STATE#wechat_redirect
注意：
1、手机号码正确，无需反馈！
2、仅限南京地区员工关注，其他地区员工按当地福利通知进行]",2022-01-04 10:09:04,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
126,0cab0b7f-fdd7-4e37-b643-8ed6fcc55685,2023/2/1 18:23:51,,10480,[【驻宁员工】核对本人手机号码-to员工（1月4日10点版本）.xlsx],2022-01-04 10:09:04,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
122,222ad0fa-6805-43ea-b55b-218ddd3ac683,2023/2/1 18:23:51,,10480,[企业微信截图_16412656371439.png],2022-01-04 11:20:15,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
53,6b52eaea-8400-46d5-9e03-91657939d5f5,2023/2/1 18:23:41,,10480,[【驻宁员工】核对本人手机号码-to员工（1月4日13点版本）.xlsx],2022-01-04 13:22:55,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
123,b7ab6bcd-ef17-44ae-b3b0-7ae7482eb5a3,2023/2/1 18:23:51,,10480,"[@所有人   最后一次提醒！！！！
【南京地区同事，事关春节福利，请注意】关于南京地区春节福利有个信息需要大家自行确认。有错误的要反馈，截止到14点！逾期未反馈，视为手机号码无差错。
注意：
1、手机号码正确，无需反馈！
2、仅限南京地区员工关注，其他地区员工按当地福利通知进行

目前已收到68 人的反馈，经核对其中有7人更新了手机号。现把最新核对后的清单再次发给大家，如发现手机号还有问题的，今天14点前，通过下面的链接反馈：https://link.htsc.com.cn/connect/oauth2/authorize?appid=wwd53282142c96185d&redirect_uri=https%3A%2F%2Flinkapp.htsc.com.cn%2Ftaie%2FkooForm%2FformForUser%3FformId%3DFORM_7012&response_type=code&scope=SCOPE&agentid=1000102&state=STATE#wechat_redirect]",2022-01-04 13:22:55,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
127,21ae04f8-cda7-4b4f-b589-6d03fee41ffb,2023/2/1 18:23:52,,15399,[请问：在吉山机房的服务器上，通过smtp协议访问公司的邮箱服务器168.8.250.75，可ping通但telnet失败。这个问题是需要申请什么白名单吗？],2022-01-04 13:28:41,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,1
